
Активные подключения

  Имя    Локальный адрес        Внешний адрес          Состояние       PID
  TCP    [fe80::d409:7142:582e:e52%16]:2565  [fe80::d409:7142:582e:e52%16]:49564  ESTABLISHED     5588
  TCP    [fe80::d409:7142:582e:e52%16]:2565  [fe80::d409:7142:582e:e52%16]:49579  ESTABLISHED     5588
  TCP    [fe80::d409:7142:582e:e52%16]:2565  [fe80::d409:7142:582e:e52%16]:49616  ESTABLISHED     5588
  TCP    [fe80::d409:7142:582e:e52%16]:2565  [fe80::d409:7142:582e:e52%16]:49704  ESTABLISHED     5588
  TCP    [fe80::d409:7142:582e:e52%16]:2565  [fe80::d409:7142:582e:e52%16]:61871  ESTABLISHED     5588
  TCP    [fe80::d409:7142:582e:e52%16]:2566  [fe80::d409:7142:582e:e52%16]:49248  ESTABLISHED     5516
  TCP    [fe80::d409:7142:582e:e52%16]:2566  [fe80::d409:7142:582e:e52%16]:49295  ESTABLISHED     5516
  TCP    [fe80::d409:7142:582e:e52%16]:2566  [fe80::d409:7142:582e:e52%16]:49311  ESTABLISHED     5516
  TCP    [fe80::d409:7142:582e:e52%16]:2566  [fe80::d409:7142:582e:e52%16]:49516  ESTABLISHED     5516
  TCP    [fe80::d409:7142:582e:e52%16]:2566  [fe80::d409:7142:582e:e52%16]:49531  ESTABLISHED     5516
  TCP    [fe80::d409:7142:582e:e52%16]:2566  [fe80::d409:7142:582e:e52%16]:49547  ESTABLISHED     5516
  TCP    [fe80::d409:7142:582e:e52%16]:2566  [fe80::d409:7142:582e:e52%16]:49561  ESTABLISHED     5516
  TCP    [fe80::d409:7142:582e:e52%16]:2566  [fe80::d409:7142:582e:e52%16]:49576  ESTABLISHED     5516
  TCP    [fe80::d409:7142:582e:e52%16]:2566  [fe80::d409:7142:582e:e52%16]:49594  ESTABLISHED     5516
  TCP    [fe80::d409:7142:582e:e52%16]:2566  [fe80::d409:7142:582e:e52%16]:49613  ESTABLISHED     5516
  TCP    [fe80::d409:7142:582e:e52%16]:2566  [fe80::d409:7142:582e:e52%16]:49701  ESTABLISHED     5516
  TCP    [fe80::d409:7142:582e:e52%16]:2566  [fe80::d409:7142:582e:e52%16]:52299  ESTABLISHED     5516
  TCP    [fe80::d409:7142:582e:e52%16]:2567  [fe80::d409:7142:582e:e52%16]:49243  ESTABLISHED     5676
  TCP    [fe80::d409:7142:582e:e52%16]:2567  [fe80::d409:7142:582e:e52%16]:49293  ESTABLISHED     5676
  TCP    [fe80::d409:7142:582e:e52%16]:2567  [fe80::d409:7142:582e:e52%16]:49309  ESTABLISHED     5676
  TCP    [fe80::d409:7142:582e:e52%16]:2567  [fe80::d409:7142:582e:e52%16]:49513  ESTABLISHED     5676
  TCP    [fe80::d409:7142:582e:e52%16]:2567  [fe80::d409:7142:582e:e52%16]:49528  ESTABLISHED     5676
  TCP    [fe80::d409:7142:582e:e52%16]:2567  [fe80::d409:7142:582e:e52%16]:49544  ESTABLISHED     5676
  TCP    [fe80::d409:7142:582e:e52%16]:2567  [fe80::d409:7142:582e:e52%16]:49574  ESTABLISHED     5676
  TCP    [fe80::d409:7142:582e:e52%16]:2567  [fe80::d409:7142:582e:e52%16]:49591  ESTABLISHED     5676
  TCP    [fe80::d409:7142:582e:e52%16]:2567  [fe80::d409:7142:582e:e52%16]:49610  ESTABLISHED     5676
  TCP    [fe80::d409:7142:582e:e52%16]:2567  [fe80::d409:7142:582e:e52%16]:49698  ESTABLISHED     5676
  TCP    [fe80::d409:7142:582e:e52%16]:2567  [fe80::d409:7142:582e:e52%16]:61870  ESTABLISHED     5676
  TCP    [fe80::d409:7142:582e:e52%16]:2568  [fe80::d409:7142:582e:e52%16]:49235  ESTABLISHED     5692
  TCP    [fe80::d409:7142:582e:e52%16]:2568  [fe80::d409:7142:582e:e52%16]:49290  ESTABLISHED     5692
  TCP    [fe80::d409:7142:582e:e52%16]:2568  [fe80::d409:7142:582e:e52%16]:49307  ESTABLISHED     5692
  TCP    [fe80::d409:7142:582e:e52%16]:2568  [fe80::d409:7142:582e:e52%16]:49510  ESTABLISHED     5692
  TCP    [fe80::d409:7142:582e:e52%16]:2568  [fe80::d409:7142:582e:e52%16]:49541  ESTABLISHED     5692
  TCP    [fe80::d409:7142:582e:e52%16]:2568  [fe80::d409:7142:582e:e52%16]:49556  ESTABLISHED     5692
  TCP    [fe80::d409:7142:582e:e52%16]:2568  [fe80::d409:7142:582e:e52%16]:49571  ESTABLISHED     5692
  TCP    [fe80::d409:7142:582e:e52%16]:2568  [fe80::d409:7142:582e:e52%16]:49588  ESTABLISHED     5692
  TCP    [fe80::d409:7142:582e:e52%16]:2568  [fe80::d409:7142:582e:e52%16]:49607  ESTABLISHED     5692
  TCP    [fe80::d409:7142:582e:e52%16]:2568  [fe80::d409:7142:582e:e52%16]:49695  ESTABLISHED     5692
  TCP    [fe80::d409:7142:582e:e52%16]:2568  [fe80::d409:7142:582e:e52%16]:50905  ESTABLISHED     5692
  TCP    [fe80::d409:7142:582e:e52%16]:2568  [fe80::d409:7142:582e:e52%16]:54430  ESTABLISHED     5692
  TCP    [fe80::d409:7142:582e:e52%16]:2569  [fe80::d409:7142:582e:e52%16]:49231  ESTABLISHED     5532
  TCP    [fe80::d409:7142:582e:e52%16]:2569  [fe80::d409:7142:582e:e52%16]:49288  ESTABLISHED     5532
  TCP    [fe80::d409:7142:582e:e52%16]:2569  [fe80::d409:7142:582e:e52%16]:49305  ESTABLISHED     5532
  TCP    [fe80::d409:7142:582e:e52%16]:2569  [fe80::d409:7142:582e:e52%16]:49508  ESTABLISHED     5532
  TCP    [fe80::d409:7142:582e:e52%16]:2569  [fe80::d409:7142:582e:e52%16]:49524  ESTABLISHED     5532
  TCP    [fe80::d409:7142:582e:e52%16]:2569  [fe80::d409:7142:582e:e52%16]:49539  ESTABLISHED     5532
  TCP    [fe80::d409:7142:582e:e52%16]:2569  [fe80::d409:7142:582e:e52%16]:49554  ESTABLISHED     5532
  TCP    [fe80::d409:7142:582e:e52%16]:2569  [fe80::d409:7142:582e:e52%16]:49569  ESTABLISHED     5532
  TCP    [fe80::d409:7142:582e:e52%16]:2569  [fe80::d409:7142:582e:e52%16]:49586  ESTABLISHED     5532
  TCP    [fe80::d409:7142:582e:e52%16]:2569  [fe80::d409:7142:582e:e52%16]:49605  ESTABLISHED     5532
  TCP    [fe80::d409:7142:582e:e52%16]:2569  [fe80::d409:7142:582e:e52%16]:49693  ESTABLISHED     5532
  TCP    [fe80::d409:7142:582e:e52%16]:2569  [fe80::d409:7142:582e:e52%16]:53791  ESTABLISHED     5532
  TCP    [fe80::d409:7142:582e:e52%16]:2570  [fe80::d409:7142:582e:e52%16]:49239  ESTABLISHED     5656
  TCP    [fe80::d409:7142:582e:e52%16]:2570  [fe80::d409:7142:582e:e52%16]:49291  ESTABLISHED     5656
  TCP    [fe80::d409:7142:582e:e52%16]:2570  [fe80::d409:7142:582e:e52%16]:49511  ESTABLISHED     5656
  TCP    [fe80::d409:7142:582e:e52%16]:2570  [fe80::d409:7142:582e:e52%16]:49527  ESTABLISHED     5656
  TCP    [fe80::d409:7142:582e:e52%16]:2570  [fe80::d409:7142:582e:e52%16]:49542  ESTABLISHED     5656
  TCP    [fe80::d409:7142:582e:e52%16]:2570  [fe80::d409:7142:582e:e52%16]:49557  ESTABLISHED     5656
  TCP    [fe80::d409:7142:582e:e52%16]:2570  [fe80::d409:7142:582e:e52%16]:49572  ESTABLISHED     5656
  TCP    [fe80::d409:7142:582e:e52%16]:2570  [fe80::d409:7142:582e:e52%16]:49589  ESTABLISHED     5656
  TCP    [fe80::d409:7142:582e:e52%16]:2570  [fe80::d409:7142:582e:e52%16]:49608  ESTABLISHED     5656
  TCP    [fe80::d409:7142:582e:e52%16]:2570  [fe80::d409:7142:582e:e52%16]:49696  ESTABLISHED     5656
  TCP    [fe80::d409:7142:582e:e52%16]:2570  [fe80::d409:7142:582e:e52%16]:55834  ESTABLISHED     5656
  TCP    [fe80::d409:7142:582e:e52%16]:2571  [fe80::d409:7142:582e:e52%16]:49257  ESTABLISHED     5524
  TCP    [fe80::d409:7142:582e:e52%16]:2571  [fe80::d409:7142:582e:e52%16]:49300  ESTABLISHED     5524
